Address,City,Price,Lot size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden
Wilhelminastraat 33 h,Bodegraven,450000,109.0,1996,Bestaande bouw,,,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,In centrum en vrij uitzicht,Zonneterras
Oranjeweg 34,Kortenhoef,395000,91.0,1935,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin
Ter Apelkanaal Oost 113,Ter Apelkanaal,469000,232.0,1937,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan vaarwater en beschutte ligging,Achtertuin en zijtuin
Zwembaan 100,Vlaardingen,565000,135.0,2023,Nieuwbouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+++,In woonwijk,"Achtertuin, voortuin en zijtuin"
Herenweg 172 C,Egmond aan den Hoef,369500,88.0,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In centrum,Achtertuin en voortuin
Goejanverwelle 80,Hekendorp,779500,164.0,1962,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,B,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Achtertuin
Rondel 19,Nijkerk,650000,178.0,2015,Bestaande bouw,"Herenhuis, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen,A,In woonwijk en vrij uitzicht,Achtertuin
Irislaan 131,Oegstgeest,625000,231.0,1965,Bestaande bouw,,Plat dak,7 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,C,"Aan drukke weg, aan park en in centrum",
De Genestetstraat 70,Leiden,350000,77.0,1922,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,In woonwijk,
Tamboerhof 11,Etten-Leur,972500,224.0,2007,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Westerwoud 149,Woudenberg,450000,124.0,1986,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,,Achtertuin en voortuin
E.E. Stolperlaan 9,Veendam,312500,118.0,1912,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,,"Achtertuin, voortuin en zijtuin"
Mooieweg 144,Arnhem,995000,178.0,1977,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin
Haparandaweg 870,Amsterdam,1030000,158.0,2016,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers,3 woonlagen,A,Aan rustige weg en in woonwijk,
Pieter Oosterhuisstraat 42 + 2 PP,Amsterdam,695000,100.0,2010,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A+,"Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht",
Zevenhuizerlaan 2 D,Heiloo,414500,74.0,2019,Bestaande bouw,,,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,,
Cavaleriestraat 40,Sittard,339000,91.0,2008,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,In woonwijk,
Grootzeil 441,Almere,760000,153.0,2010,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),2 badkamers,3 woonlagen,A,"Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Nuenderbeekselaan 1,Nuenen,1050000,273.0,1997,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,8 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een zolder,B,In woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin"
Flora Bilderbeekstraat 91,Zwolle,549500,203.0,1991,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (6 slaapkamers),1 badkamer,4 woonlagen,A,"Aan park, aan rustige weg, aan water, in woonwijk, open ligging en vrij uitzicht",Achtertuin en zonneterras
Oude Veer 3,Papendrecht,549500,155.0,1934,Bestaande bouw,"Eengezinswoning, hoekwoning (dijkwoning)",Tentdak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",C,In centrum,"Achtertuin, voortuin, zijtuin en zonneterras"
Willem de Zwijgerstraat 52,Rotterdam,295000,78.0,1938,Bestaande bouw,,Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,
Midden Duin en Daalseweg 3,Bloemendaal,3495000,333.0,1916,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak,12 kamers (6 slaapkamers),5 badkamers en 2 aparte toiletten,"4 woonlagen, een vliering en een kelder",D,"Aan bosrand, aan rustige weg en vrij uitzicht",Tuin rondom
Schoolstraat-Lemelerveld 31,Lemelerveld,459000,106.0,1988,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,C,In woonwijk,"Achtertuin, voortuin en zijtuin"
Herenweg 244,Vinkeveen,1195000,236.0,1880,Bestaande bouw,"Woonboerderij, vrijstaande woning",Samengesteld dak bedekt met pannen en riet,5 kamers (4 slaapkamers),2 badkamers,2 woonlagen en een vliering,E,"Aan rustige weg, aan vaarwater, aan water en in centrum",Tuin rondom
Terheijlsterweg 28,Nieuw-Roden,795000,230.0,2003,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met riet,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,A+++,In woonwijk,Tuin rondom
Apeldoornseweg 28,Elspeet,649000,142.0,1935,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In bosrijke omgeving en in centrum,"Achtertuin, tuin rondom, voortuin en zijtuin"
Korvet 4,Brielle,339500,122.0,1973,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Zadeldak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een zolder,D,In woonwijk,Achtertuin en voortuin
Liendenhof 274 +PP,Amsterdam,395000,100.0,1979,Bestaande bouw,,Samengesteld dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,"Aan park, beschutte ligging en vrij uitzicht",
Stationsweg 78,Hillegom,895000,151.0,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan vaarwater,Tuin rondom
Scheidingstraat 43,Den Bosch,695000,148.0,2000,Bestaande bouw,,,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,A+,In centrum en vrij uitzicht,
Ludekenskamp 8,Zwolle,499000,144.0,1980,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin
's-Gravenweg 148 a,Nieuwerkerk aan den IJssel,1095000,214.0,2007,Bestaande bouw,"Villa, vrijstaande woning",Tentdak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,Buiten bebouwde kom,"Achtertuin, voortuin en zijtuin"
Mercurius 35,Twello,495000,128.0,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Morssingel 205,Leiden,425000,74.0,1979,Bestaande bouw,,Samengesteld dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,"In centrum, in woonwijk en vrij uitzicht",
Jaap ter Haarstraat 87,Almere,625000,158.0,2000,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin
Briljantstoep 53,Assen,314500,112.0,1998,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Park Broekheurne 41,Enschede,535000,171.0,1995,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met pannen,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en zijtuin
Batenburg 85,Vlissingen,215000,109.0,1976,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en overig,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin
Zanderijweg 54,Apeldoorn,435000,136.0,1939,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,"Achtertuin, voortuin en zijtuin"
Deimanstraat 194,Den Haag,250000,90.0,1923,Bestaande bouw,,,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,Aan park en in woonwijk,
Burgemeester Voslaan 33,Lienden,459000,123.0,1991,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg,Achtertuin
Jacob van Ruysdaelstraat 35,Enschede,350000,117.0,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Gedempte Zalmhaven 474,Rotterdam,825000,124.0,2021,Bestaande bouw,"Herenhuis, eindwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,4 woonlagen,A+,"Aan rustige weg, in centrum, in woonwijk en vrij uitzicht",
Hendrik Jan IJpenberglaan 34,Elsendorp,865000,202.0,1992,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"Aan bosrand, buiten bebouwde kom, in bosrijke omgeving en landelijk gelegen",Tuin rondom
Albert Plesmanplein 56,Gouda,229000,79.0,1964,Bestaande bouw,,Plat dak,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,E,In centrum en vrij uitzicht,
Ter Huivra 2,Joure,799000,270.0,2004,Bestaande bouw,,,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen,A,"In centrum, open ligging en vrij uitzicht",Zonneterras
Terpmeent 78,Almere,335000,96.0,,Bestaande bouw,,Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,E,"Aan rustige weg, in woonwijk, open ligging en vrij uitzicht",
